"","trainer","pre","post"
"148",2,67.6707164012,37.110947969
"149",2,53.2591294055,97.4757710964
"150",2,63.5149808671,25.1000785788
"151",2,67.9805388133,80.9571652197
"152",2,67.3724659005,29.720400203
"153",2,15.5607495229,80.0656402858
"154",2,71.7907676942,71.0654666627
"155",2,70.2425464362,24.1095975542
"156",2,64.9374355444,81.5542049945
"157",2,62.2135245453,21.4758389969
"158",2,67.2694004772,18.7089683725
"159",2,40.5701970446,79.3729634752
"160",2,74.7411813341,21.1016372041
"161",2,71.7683189223,20.0110618423
"162",2,76.1669198143,75.9361704048
"163",2,65.6236574431,15.5828033531
"164",2,50.8506336394,13.9876016304
"165",2,33.0240700249,24.4678303872
"166",2,39.7063261674,84.2752871038
"167",2,45.5964849542,9.76334884943
"168",2,42.9680469104,17.9454583961
"169",2,52.4944067819,16.0511142003
"170",2,46.0822757831,23.1104578154
"171",2,74.2477082092,20.314187812
"172",2,64.5682641863,83.6396338956
"173",2,74.0216939058,76.1282745076
"174",2,62.3911805626,5.62307076073
"175",2,74.189036683,68.1335832223
"176",2,28.2367819396,56.1395964513
"177",2,75.7719387944,69.8292300322
"178",2,75.8552294691,62.5170442862
"179",2,65.9708570175,72.7448559954
"180",2,21.7780404779,6.61662530728
"181",2,67.7597962473,72.4212015285
"182",2,78.6171953363,52.5752573142
"183",2,68.5077081898,15.4569189652
"184",2,74.8850211598,25.4166063231
"185",2,66.4549036599,19.8366286542
"186",2,77.3178020985,48.3983464352
"187",2,58.9124603193,75.6677562173
"188",2,57.617447817,8.19480060319
"189",2,76.0882257967,59.6799300235
"190",2,57.4660505497,1.50441817488
"191",2,79.4283834934,45.2107942872
"192",2,76.3565221496,10.4182411281
"193",2,64.4050752632,78.5841760758
"194",2,40.6350418091,73.3947503698
"195",2,43.9498645857,75.9587156671
"196",2,30.9962205791,71.694404938
"197",2,68.2307689907,80.8725016628
"198",2,72.0463894612,12.9180067349
"199",2,46.5927679682,84.9723827774
"200",2,49.2572183396,81.8814032306
"201",2,42.7817612539,12.9911884302
"202",2,65.475952195,14.2745856444
"203",2,71.9650826544,17.7102359443
"204",2,32.1464623358,43.4817094425
"205",2,31.8384976954,71.8121653901
"206",2,31.0052582572,40.682503007
"207",2,80.4708943189,49.5021483467
"208",2,71.9641671122,41.8742826668
"209",2,78.0794214417,93.1333167652
"210",2,41.6775957748,30.2012640846
"211",2,65.953595185,31.1474060835
"212",2,62.9344593731,31.9163906992
"213",2,64.3737979844,28.8625834061
"214",2,72.5093283599,39.5401302526
"215",2,30.0522898741,96.6175423534
"216",2,28.0033242354,46.6721919544
"217",2,75.4012268619,88.6390766207
"218",2,38.9800154218,87.322160691
"219",2,65.2199135479,84.6829549336
"220",2,73.0539899616,29.3808085571
"221",2,34.3983616372,59.5444469033
"222",2,43.4904501336,40.782542065
"223",2,55.138737967,30.7257603575
"224",2,43.6843934333,32.8230098696
"225",2,35.9036097344,91.1118630801
"226",2,45.3780188805,29.1692166544
"227",2,39.7774828713,43.75581895
"228",2,38.6644611569,33.3172384774
"229",2,39.0440366877,84.6760108316
"230",2,91.6399614428,79.4066030605
"231",2,47.4881326771,85.3899333808
"232",2,44.5902125769,22.0340116412
"233",2,39.0896145478,70.4661940802
"234",2,42.2293783752,19.9140684075
"235",2,37.0003871448,60.264279248
"236",2,39.0520864793,70.6525028457
"237",2,37.4884147432,60.8144048511
"238",2,69.3595594592,65.5213545959
"239",2,43.542775926,62.4603112824
"240",2,39.8112302539,65.3348328092
"241",2,70.0689259404,7.59346560899
"242",2,70.0405435824,77.1438066024
"243",2,39.505789079,74.8516272173
"244",2,62.5168908529,66.4847322418
"245",2,72.1399254065,0.0151193251552
"246",2,45.2515760666,70.0034213192
"247",2,42.0633045627,2.33519661206
"248",2,36.3556951539,6.0058486497
"249",2,30.3918276596,42.75961287
"250",2,36.4490038543,50.5462690659
"251",2,40.467576002,60.0275120878
"252",2,81.7246168002,6.03754484635
"253",2,48.8231974964,76.6353305783
"254",2,35.6205617651,57.2860155789
"255",2,50.5839631148,71.8066161014
"256",2,61.8564651063,71.7927431642
"257",2,39.3237560262,59.3008196656
"258",2,42.1856791429,66.0348978235
"259",2,30.8469189898,37.3416401041
"260",2,29.3462004281,42.1487418312
"261",2,82.1105579783,1.21055166293
"262",2,38.3020058088,60.0177857932
"263",2,56.5841530218,70.512514809
"264",2,33.3393742865,0.5091067352
"265",2,78.7742390407,35.4841012146
"266",2,27.9226442446,25.9868781844
"267",2,71.6978651182,10.8681445111
"268",2,74.1383313856,49.1739189791
"269",2,32.579020066,1.80811559665
"270",2,59.83218542,69.1525081443
"271",2,35.0306285457,12.5366493416
"272",2,74.3001198284,42.4770945921
"273",2,63.2501970628,65.9524861966
"274",2,34.1730737648,25.6936743092
"275",2,40.9138319319,38.5590195509
"276",2,62.8332930874,62.5108942269
"277",2,42.4767923803,56.7312899691
"278",2,52.0334562787,64.5666620298
"279",2,48.9070429644,74.2877488252
"280",2,59.8518383854,72.9583909677
"281",2,48.9604602016,72.6295257275
"282",2,46.8448551673,36.7917136918
"283",2,39.9630215796,42.9449148487
"284",2,66.704943997,32.0150954299
"285",3,53.366566866,90.2080300059
"286",3,52.8019793617,90.0880645063
"287",3,47.0541298828,90.458936026
"288",3,42.4484337816,89.5077001153
"289",3,42.7040363241,90.4426288607
"290",3,32.3789386326,90.144142631
"291",3,32.5307027362,70.1573965085
"292",3,33.3652644305,70.4593354392
"293",3,32.6560991775,70.0510704992
"294",3,22.9550932697,70.4268951523
"295",3,27.1498436318,70.2108058428
"296",3,26.1669092779,70.5003151212
"297",3,26.3314570795,50.494556525
"298",3,22.0037091415,50.4994401238
"299",3,23.2847479782,50.4743528321
"300",3,27.6340383923,50.5036668574
"301",3,32.0371080007,50.5000661229
"302",3,29.3365106528,50.461893969
"303",3,40.816953133,50.4877601957
"304",3,42.7390751173,50.483155992
"305",3,51.8678937691,50.4932732621
"306",3,43.3710018924,50.5008373234
"307",3,53.0427983006,50.4875038691
"308",3,56.6189102967,50.5033740178
"309",3,70.568289819,50.4962361243
"310",3,67.870887292,70.0680261345
"311",3,58.8215465891,70.4557817483
"312",3,60.1869278445,70.4835512458
"313",3,59.4355174849,50.4206326073
"314",3,49.5858434795,50.4349813825
"315",3,41.7797417848,50.4706422808
"316",3,46.1276863394,30.4494107792
"317",3,38.0337837705,50.4908995189
"318",3,44.5468412844,50.4159133758
"319",3,46.2381175975,30.4956129408
"320",3,49.7397453317,30.4727248868
"321",3,39.1102518936,30.4786951789
"322",3,39.1428377913,30.7928559394
"323",3,34.6254702671,30.4997410297
"324",3,34.7542074707,30.4958650002
"325",3,36.7537002386,50.5293043035
"326",3,37.0193512929,50.4926666972
"327",3,41.4171152753,50.4697734181
"328",3,22.8171074784,30.4360403387
"329",3,34.800701463,30.4979313851
"330",3,27.8918897953,30.4849702595
"331",3,32.8706391587,30.5023417488
"332",3,37.7940494081,30.4926383364
"333",3,35.6673163042,30.522035054
"334",3,48.4422995026,30.5017227753
"335",3,58.6693732631,30.5068378948
"336",3,47.9169554375,30.4867257545
"337",3,51.8941663939,30.494755684
"338",3,51.7490891643,30.4729933399
"339",3,58.2465530013,50.4428744949
"340",3,57.3106968674,50.4825132895
"341",3,67.9680481127,50.4521589097
"342",3,65.9493192681,50.494240794
"343",3,55.7470928102,50.4789748003
"344",3,68.4030100436,50.4986272318
"345",3,76.696465628,50.4938305609
"346",3,67.2148371159,70.2600284356
"347",3,72.3020057291,70.2204373812
"348",3,66.7632573944,70.4738617113
"349",3,51.6803004439,89.9970275485
"350",3,53.0965573571,89.540243712
"351",3,42.2422929389,89.7085785936
"352",3,56.2338756577,89.635308157
"353",3,54.6809865825,89.9645994589
"354",3,57.9026866088,89.6184017294
"355",3,51.8202625467,89.8341303987
"356",3,56.8283953362,89.5836647251
"357",3,58.2722785867,69.9002729578
"358",3,51.8281274487,70.3526492053
"359",3,44.8499842618,70.3952029719
"360",3,24.2703823928,50.4855676918
"361",3,34.7424714403,70.3399348879
"362",3,37.7993149267,70.4695358763
"363",3,49.7869410649,89.6580469945
"364",3,59.751497414,89.7319325216
"365",3,64.7747992444,90.132316736
"366",3,70.8444476004,89.9242090159
"367",3,70.6059455116,90.042061963
"368",3,78.6424883907,89.5512032307
"369",3,70.810692254,89.5926540118
"370",3,66.7699466213,70.4233752108
"371",3,73.3363681612,70.3169271705
"372",3,73.1051481627,70.300511881
"373",3,74.6782541432,70.4453141903
"374",3,80.240250951,70.3543089613
"375",3,70.9468490729,50.4727017878
"376",3,88.6626638086,50.4553260208
"377",3,84.405952832,50.4948658866
"378",3,75.9871047068,50.4919669557
"379",3,91.1120854191,50.489389393
"380",3,98.2881232748,30.6039193719
"381",3,95.0652748396,30.5004028652
"382",3,95.2492339568,30.4594542144
"383",3,49.6561262881,50.4313198677
"384",3,63.0186009279,30.4925819262
"385",3,70.5382006004,30.4835582526
"386",3,70.0868697658,30.5100448173
"387",3,62.6856904424,30.5464245575
"388",3,69.239417959,30.5060052447
"389",3,80.4002336791,30.4850063746
"390",3,74.6478782284,30.6738628584
"391",3,65.9952727194,30.4750241915
"392",3,67.0885590036,30.4945239508
"393",3,59.8525770283,10.5431877763
"394",3,53.7489900744,10.5225745323
"395",3,58.2390955164,10.4948990284
"396",3,54.810300495,10.7249292845
"397",3,52.9767123211,10.859490276
"398",3,52.2038939272,10.4956369212
"399",3,50.7451622429,10.5249055723
"400",3,42.7131936166,10.4875472428
"401",3,45.3172255098,10.4958733944
"402",3,53.116915041,10.5068605973
"403",3,57.049801823,10.5081369414
"404",3,54.8546309465,10.4639151924
"405",3,54.9248425638,10.498331942
"406",3,63.3095540306,10.4888142392
"407",3,49.7494984129,10.4858029097
"408",3,41.1693104232,10.4973002433
"409",3,46.6883404976,10.5075321353
"410",3,52.4189219215,10.4959063596
"411",3,50.8784883796,10.5030898746
"412",3,57.0533061394,10.5140692392
"413",3,70.7864511597,10.5136950409
"414",3,56.7721495656,10.5032723508
"415",3,75.4772220231,10.5185680355
"416",3,76.7659121498,10.496999064
"417",3,77.621049129,10.4958742318
"418",3,65.4144870523,10.6818401251
"419",3,69.9647805002,10.5072329326
"420",3,64.9697382623,10.4821595117
"421",3,38.0502407785,30.4079460343
"422",3,42.2241202189,30.4980371582
"423",3,87.6984642949,50.4899365296
"424",3,52.3603310701,89.7043170068
"425",3,51.4067867898,89.7121385499
"426",3,43.588468468,89.7455365536
"427",4,50.4815081703,93.2227013657
"428",4,50.2824056687,97.6099835723
"429",4,50.1867033389,99.6946801425
"430",4,50.3269108629,90.0220534916
"431",4,50.4562073315,89.9874101286
"432",4,30.4648469308,82.0892320845
"433",4,30.5015964737,82.3071263462
"434",4,30.489569227,77.7298801366
"435",4,30.45024833,79.8348944011
"436",4,30.5183947985,68.2525829388
"437",4,30.5116612138,66.0937181831
"438",4,30.4980777147,62.3849850338
"439",4,30.6202277519,60.8600821544
"440",4,30.4921854231,55.8789168923
"441",4,30.474634333,52.3221596388
"442",4,30.500998079,48.0696996767
"443",4,30.4944213623,45.7734755346
"444",4,30.4995445502,49.3820997506
"445",4,50.144392979,47.0142836417
"446",4,49.9128985877,55.5878389121
"447",4,50.3374274859,57.9553142818
"448",4,50.4189791992,60.5249117346
"449",4,50.2052589714,57.9242171676
"450",4,50.4353151633,56.4393224734
"451",4,69.5057889042,59.2849248279
"452",4,69.5340709833,64.8929773346
"453",4,69.5101069302,61.3296244282
"454",4,69.5263228876,56.9952791254
"455",4,49.9472399619,48.2295767261
"456",4,50.0631041291,58.085037556
"457",4,50.489902373,39.2054119682
"458",4,49.6888638379,42.018514414
"459",4,50.3334811097,43.588671479
"460",4,50.4467514196,57.2305889423
"461",4,50.4209091963,43.3479568967
"462",4,50.3740520508,32.9182406167
"463",4,30.4768299051,39.4246055913
"464",4,30.5034743497,38.3485561381
"465",4,30.5048349283,28.7714879939
"466",4,30.4622184647,32.7504720275
"467",4,30.491302622,43.5613740753
"468",4,30.449653838,44.9951230008
"469",4,30.4859942157,47.3479464653
"470",4,30.5020767935,36.4412129198
"471",4,30.4780588886,28.020580489
"472",4,30.5011608787,38.3141385582
"473",4,30.5047730174,26.4166256707
"474",4,30.509115326,22.8255471196
"475",4,50.1156321728,16.6940065479
"476",4,50.4483013392,21.6402564599
"477",4,50.17317743,29.177864393
"478",4,49.9227419194,38.4404729124
"479",4,50.3112993746,26.8604882737
"480",4,50.3994096114,38.9638389234
"481",4,50.3373626448,40.913386144
"482",4,50.2023180965,47.2129480045
"483",4,50.2749326091,49.6234993439
"484",4,69.4943803061,52.6124107059
"485",4,69.5193397556,47.384533707
"486",4,69.5291826079,57.8412666804
"487",4,69.495755496,58.785073162
"488",4,69.199057706,60.4189573202
"489",4,69.5510914402,58.4010982686
"490",4,69.5066843151,68.0844667893
"491",4,50.4441175504,75.0132995059
"492",4,50.4672293846,90.281464505
"493",4,50.210881979,80.9417717084
"494",4,50.205406955,90.6405359009
"495",4,50.4382906648,92.3547602661
"496",4,50.3735188462,82.2192057218
"497",4,50.253683689,81.7438287242
"498",4,50.2504708592,71.9513852104
"499",4,50.0870583609,73.9518736268
"500",4,50.2310718829,80.6473870602
"501",4,50.2077411201,73.1145035177
"502",4,30.4995061735,53.6125276703
"503",4,30.5203612407,65.1004090686
"504",4,30.4549558873,63.5017787814
"505",4,50.4164772292,97.2696919618
"506",4,69.5250693831,93.5980502089
"507",4,69.5202566002,97.1938760167
"508",4,69.4989700668,92.1204899292
"509",4,69.5286156637,91.6220882409
"510",4,69.4997669273,84.47968329
"511",4,69.5038013697,81.8154056166
"512",4,69.4875893963,81.8359875567
"513",4,69.5191157281,71.1159672213
"514",4,69.5043762947,70.4934438205
"515",4,69.5125730109,61.497563947
"516",4,89.4942005622,62.2343269676
"517",4,89.5001240511,53.2163306165
"518",4,89.490246254,48.890796551
"519",4,89.49778562,46.6299066746
"520",4,89.5048511306,48.4234081578
"521",4,89.5010526463,43.3473436951
"522",4,89.4888412549,40.6250912209
"523",4,89.5016235276,45.8151791904
"524",4,89.497529662,33.901372671
"525",4,50.4390920216,37.670771798
"526",4,50.179850128,36.8075593352
"527",4,69.5050706711,33.7401525035
"528",4,69.5798670452,21.9352367455
"529",4,69.5064719492,22.7286628748
"530",4,69.4994788728,16.3374699821
"531",4,69.500264751,27.1360239942
"532",4,69.5041565157,23.6689181006
"533",4,69.5322795847,21.8509008151
"534",4,69.5001114942,11.7916260054
"535",4,69.5048154243,15.6143582625
"536",4,69.5034745234,17.1690897689
"537",4,50.3774019862,16.5060150613
"538",4,50.3394254813,18.7234506861
"539",4,50.0936501016,11.6077134241
"540",4,49.9341271714,22.2561397401
"541",4,50.2888186122,13.436410466
"542",4,50.2879944267,12.8722822086
"543",4,50.2347207,20.4044729196
"544",4,50.2797016367,15.608737571
"545",4,50.2530067222,11.3020842468
"546",4,50.4741411162,12.4619966676
"547",4,50.1084399725,18.2590443442
"548",4,49.919058249,3.7168538855
"549",4,50.0836645085,10.2358819024
"550",4,50.3522608355,12.4686005273
"551",4,50.4975722411,7.40962523419
"552",4,50.0163058346,16.2536847911
"553",4,50.4682212165,13.3567024555
"554",4,69.5506789842,9.03298756904
"555",4,69.5186727475,15.1804864298
"556",4,69.5034574098,16.8783132661
"557",4,69.4994868291,10.2078266798
"558",4,69.5275296829,9.99229666551
"559",4,69.5190952617,11.4226857018
"560",4,69.5618994268,15.9998037858
"561",4,69.5010445197,5.95583353945
"562",4,69.524635976,2.73476016988
"563",4,30.4995937106,26.0855615691
"564",4,30.487391709,19.7794703733
"565",4,89.5001804719,31.9789174357
"566",4,50.4102716314,98.6283694405
"567",4,50.3259243927,94.9946308528
"568",4,50.1040315041,95.0885380179
"569",5,38.3377571839,92.472719051
"570",5,35.7518707905,94.1167680276
"571",5,32.7672179591,88.5182945794
"572",5,33.7296067755,88.622265789
"573",5,37.238249327,83.7249284144
"574",5,36.0271982243,82.0407806505
"575",5,39.2392807768,79.2637238398
"576",5,39.7845249391,82.2605658962
"577",5,35.1660293896,84.1564919839
"578",5,40.622115916,78.5421042089
"579",5,39.181907086,79.8190371976
"580",5,42.4308889944,75.1336346406
"581",5,43.0812558617,75.3467016413
"582",5,44.3607194344,70.4742070546
"583",5,44.3247788435,71.0459044019
"584",5,47.552160202,66.4604037217
"585",5,48.6649246215,64.9610049438
"586",5,46.280631958,68.0284231525
"587",5,50.5632444849,62.6238279659
"588",5,52.6309642318,59.9639357915
"589",5,54.6362064446,57.4938424367
"590",5,51.346027139,61.6005530364
"591",5,57.134855354,53.8779658045
"592",5,54.1712415737,58.0598078952
"593",5,50.9423823071,62.0973939351
"594",5,66.512924456,59.0712818478
"595",5,64.3979095023,56.1748754008
"596",5,68.686593294,62.2373439902
"597",5,65.0277937057,57.0962573525
"598",5,53.3045031712,40.883844549
"599",5,52.9451780881,40.3846256942
"600",5,45.225738199,30.5552259226
"601",5,50.8433046202,37.7446280981
"602",5,49.6592939398,36.273442735
"603",5,47.1427889348,32.0250641734
"604",5,41.2700565259,21.7218171465
"605",5,47.1301271555,31.3099029222
"606",5,40.9159715783,23.5415923929
"607",5,38.6601639737,21.6895496369
"608",5,42.6125508262,24.195053774
"609",5,41.2090395008,24.1287091891
"610",5,50.6492211499,37.4837907435
"611",5,52.1319019406,39.3646020815
"612",5,39.7972712705,16.083549649
"613",5,43.5498814807,24.3072109395
"614",5,36.7146633371,17.3818098572
"615",5,37.2246101278,17.9800644828
"616",5,40.5124478537,22.9622145725
"617",5,40.2220627884,20.6146217044
"618",5,44.1249612057,23.3662452858
"619",5,42.3462616039,24.5583269437
"620",5,44.1890843708,28.772625473
"621",5,45.8142453101,31.056979672
"622",5,46.6431192691,31.4072190618
"623",5,52.1898883047,39.3677964938
"624",5,51.1003173587,38.095699984
"625",5,65.4008341477,42.6140320392
"626",5,64.8520398267,43.1337348404
"627",5,63.4038060118,44.847493688
"628",5,65.3715488709,42.6959713164
"629",5,61.9080397046,53.1903520694
"630",5,71.8266529973,65.6862303604
"631",5,72.6546231621,66.8782776113
"632",5,76.8885781632,72.1654720777
"633",5,43.7446196844,71.2679610751
"634",5,39.0542484428,83.1190207043
"635",5,39.9316746322,79.9391880033
"636",5,39.762826107,76.4059674459
"637",5,41.323383287,80.2118685969
"638",5,41.7873232275,83.9880779935
"639",5,39.7556490651,79.6570966361
"640",5,40.7498793985,77.204657286
"641",5,43.8568984983,77.6098436482
"642",5,42.3678224956,73.6382718294
"643",5,39.4629598364,78.459973898
"644",5,44.5173339492,70.3693498252
"645",5,41.6360929963,76.2492229205
"646",5,45.4229321817,69.0955016709
"647",5,42.0028562742,97.8376147235
"648",5,76.1056290282,95.3049805754
"649",5,79.2025626772,92.4072156264
"650",5,84.8482440854,95.4248045304
"651",5,81.5644753207,83.7929072262
"652",5,85.4461864009,83.0782938448
"653",5,80.3124913784,76.5162389518
"654",5,80.7662322969,79.8960656796
"655",5,82.6701124763,81.711479845
"656",5,77.1636254828,73.5237189623
"657",5,74.0707000309,68.4795642895
"658",5,74.1142308687,71.9263635185
"659",5,68.942075458,62.635150577
"660",5,73.2420023309,67.3532711288
"661",5,71.8670131631,34.3291575887
"662",5,71.5691888532,34.699218607
"663",5,71.4829096934,34.6805169926
"664",5,78.1285220512,23.139231835
"665",5,78.789825254,25.5971933466
"666",5,77.7815467962,23.4472144745
"667",5,48.5306293681,34.1524500077
"668",5,65.5307814724,42.2810847015
"669",5,70.1180341426,36.4481847905
"670",5,70.4722626065,36.0880530553
"671",5,76.7911300701,28.0720081685
"672",5,72.4093545935,33.0392569664
"673",5,76.271299815,25.5695441452
"674",5,76.9532591384,27.7706107405
"675",5,75.1077300904,30.0169834157
"676",5,75.9692852004,29.0388653753
"677",5,75.2838870131,24.8747531721
"678",5,77.0522406385,27.9056390894
"679",5,42.8267563374,25.5569594065
"680",5,42.0806606852,24.9465264454
"681",5,39.8783046498,18.3249292157
"682",5,36.4754991726,17.7189477884
"683",5,37.1030736419,15.4456116477
"684",5,34.1489682077,13.5238698677
"685",5,37.5794219113,15.0158901333
"686",5,41.0643057894,12.2144689321
"687",5,42.195266147,20.9193721857
"688",5,36.6055782383,15.748875885
"689",5,39.4311612098,19.3238407541
"690",5,37.5620763361,11.9284457044
"691",5,34.2381100444,13.7131582305
"692",5,34.1409410386,4.57766135024
"693",5,36.6592676972,17.6819644553
"694",5,40.6437192795,20.2408613716
"695",5,36.7924815919,13.3921347304
"696",5,75.9483006427,22.7447959146
"697",5,76.8406924717,20.9185472197
"698",5,81.9504776395,19.8745582085
"699",5,81.6437056853,16.5917599845
"700",5,84.6102197758,14.2477619017
"701",5,84.1028794336,8.98065579006
"702",5,80.18002545,19.0888441297
"703",5,80.5732729943,8.36563890168
"704",5,79.0043268649,10.6281977654
"705",5,40.0481864651,24.2614879334
"706",5,34.7945935378,13.9696834611
"707",5,79.221764441,22.0945914837
"708",5,36.0308797708,93.1217332374
"709",5,34.4995583102,86.6099850511
"710",5,31.1068665551,89.4616352367
"711",6,58.2136082599,91.881891513
"712",6,58.1960536923,92.2149886482
"713",6,58.7182307185,90.310532087
"714",6,57.27837287,89.9076067166
"715",6,58.082020494,92.0081450101
"716",6,57.4894477748,88.0852855629
"717",6,28.088741319,63.5107944263
"718",6,28.0854682136,63.5901969481
"719",6,28.087273053,63.1232828116
"720",6,27.5780252176,62.8210386566
"721",6,27.7799191139,63.518147517
"722",6,28.5889998149,63.0240805653
"723",6,28.7391414969,62.7208638859
"724",6,27.0246032407,62.9018588649
"725",6,28.8013366963,63.389040388
"726",6,27.186463838,63.5587296478
"727",6,29.2851466002,63.3836058254
"728",6,39.4029453026,51.1508571967
"729",6,28.8113284396,61.3578540576
"730",6,34.3039579069,56.5421259093
"731",6,29.6027609801,60.157346722
"732",6,49.1161568603,63.6600006211
"733",6,39.6175458263,62.9251879574
"734",6,43.23308466,63.1652187223
"735",6,64.8927879422,65.8141767574
"736",6,62.4901493154,74.5842896072
"737",6,68.9880844294,63.232147305
"738",6,62.1056186306,75.9908707599
"739",6,32.4618467439,62.8819029189
"740",6,41.3272006535,49.0702512739
"741",6,44.0071499323,46.4496737846
"742",6,44.0740606888,34.5532038906
"743",6,44.0013152386,33.9042073544
"744",6,45.0063004454,38.2990195507
"745",6,44.4438406096,36.0190833012
"746",6,42.1787133986,26.492119482
"747",6,44.0445656189,35.6622382764
"748",6,41.6404540171,27.0930954213
"749",6,41.9383300069,24.9915229793
"750",6,44.0539275103,33.5563924949
"751",6,39.2067193308,51.5337156971
"752",6,28.7044492315,61.7775254006
"753",6,31.7086628996,58.837754374
"754",6,42.8117114739,30.0204484197
"755",6,43.300614891,31.5264261979
"756",6,40.3986329069,16.3470083822
"757",6,40.4356915763,20.2326706762
"758",6,40.9365466658,16.9130048364
"759",6,39.6615736653,15.609355577
"760",6,40.899259175,20.7985289466
"761",6,41.9686168283,26.4970725985
"762",6,40.3834058238,21.3912255247
"763",6,56.5381264538,32.4442454697
"764",6,52.9706912828,29.0401966941
"765",6,54.6209525885,30.3445244537
"766",6,65.0990443941,27.2415575588
"767",6,63.0559909076,29.7090956748
"768",6,70.9601362323,41.2595012867
"769",6,69.8958192404,43.4537592655
"770",6,70.5958928563,41.9647438672
"771",6,69.6470214273,44.044445022
"772",6,77.392982494,63.3714590552
"773",6,64.4007871926,67.4487184472
"774",6,63.8689598271,70.2137388333
"775",6,56.5944213157,86.9270062202
